playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
DeAndre' Bembry,bembrde01,ATL,"$2,603,982 ",,,,,,1st Round pick,"$2,603,982 "
Matisse Thybulle,thybuma01,PHI,"$2,582,160 ","$2,711,280 ","$2,840,160 ","$4,379,527 ",,,1st Round Pick,"$5,293,440 "
Harry Giles,gilesha01,SAC,"$2,578,800 ",,,,,,1st Round Pick,"$2,578,800 "
Jeff Green,greenje02,UTA,"$2,564,753 ",,,,,,,"$2,564,753 "
Pau Gasol,gasolpa01,POR,"$2,564,753 ",,,,,,,"$2,564,753 "
Wesley Matthews,matthwe02,MIL,"$2,564,753 ","$2,692,991 ",,,,,Minimum Salary,"$2,564,753 "
Kyle Korver,korveky01,MIL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Udonis Haslem,hasleud01,MIA,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Jared Dudley,dudleja01,LAL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Rajon Rondo,rondora01,LAL,"$2,564,753 ","$2,619,605 ",,,,,Minimum Salary,"$2,564,753 "
Dwight Howard,howardw01,LAL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Thabo Sefolosha,sefolth01,HOU,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Tyson Chandler,chandty01,HOU,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Gerald Green,greenge01,DEN,"$2,564,753 ",,,,,,,"$2,564,753 "
J.J. Barea,bareajo01,DAL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Wilson Chandler,chandwi01,BRK,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Nenê Hilário,hilarne01,ATL,"$2,564,753 ",,,,,,,"$2,564,753 "
Vince Carter,cartevi01,ATL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
Josh Okogie,okogijo01,MIN,"$2,530,680 ","$2,651,040 ","$4,087,904 ",,,,1st Round Pick,"$5,181,720 "
Vincent Poirier,poirivi01,BOS,"$2,505,793 ","$2,619,207 ",,,,,Minimum Salary,"$5,125,000 "
Rondae Hollis-Jefferson,holliro01,TOR,"$2,500,000 ",,,,,,MLE,"$2,500,000 "
Brandon Clarke,clarkbr01,MEM,"$2,478,840 ","$2,602,920 ","$2,726,880 ","$4,343,920 ",,,1st Round Pick,"$5,081,760 "
Terrance Ferguson,fergute01,OKC,"$2,475,840 ","$3,944,013 ",,,,,1st Round Pick,"$6,419,853 "
Grayson Allen,allengr01,MEM,"$2,429,400 ","$2,545,320 ","$4,054,695 ",,,,1st Round Pick,"$4,974,720 "
Anthony Tolliver,tollian01,SAC,"$2,419,852 ",,,,,,,"$2,419,852 "
Grant Williams,willigr01,BOS,"$2,379,840 ","$2,498,760 ","$2,617,800 ","$4,306,281 ",,,1st Round Pick,"$4,878,600 "
Jarrett Allen,allenja01,BRK,"$2,376,840 ","$3,909,902 ",,,,,1st Round Pick,"$6,286,742 "
Pascal Siakam,siakapa01,TOR,"$2,351,839 ","$29,000,000 ","$31,320,000 ","$33,640,000 ","$35,960,000 ",,1st Round pick,"$132,271,839 "
Skal Labissière,labissk01,ATL,"$2,338,847 ",,,,,,1st Round pick,"$2,338,847 "
Chandler Hutchison,hutchch01,CHI,"$2,332,320 ","$2,443,440 ","$4,019,459 ",,,,1st Round Pick,"$4,775,760 "
Patrick Patterson,pattepa01,LAC,"$2,331,593 ",,,,,,Minimum Salary,"$2,331,593 "
Dejounte Murray,murrade01,SAS,"$2,321,735 ","$14,285,714 ","$15,428,571 ","$16,571,429 ","$17,714,286 ",,1st Round pick,"$66,321,735 "
Alec Burks,burksal01,PHI,"$2,320,044 ",,,,,,Minimum Salary,"$2,320,044 "
Isaiah Thomas,thomais02,LAC,"$2,320,044 ",,,,,,,"$2,320,044 "
Damian Jones,jonesda03,ATL,"$2,305,057 ",,,,,,1st Round pick,"$2,305,057 "
Darius Bazley,bazleda01,OKC,"$2,284,800 ","$2,399,160 ","$2,513,040 ","$4,264,629 ",,,1st Round Pick,"$4,683,960 "
OG Anunoby,anunoog01,TOR,"$2,281,800 ","$3,872,215 ",,,,,1st Round Pick,"$6,154,015 "
Ante Žižić,zizican01,CLE,"$2,281,800 ",,,,,,1st Round Pick,"$2,281,800 "
Monta Ellis,ellismo01,IND,"$2,245,400 ","$2,245,400 ","$2,245,400 ",,,,,"$6,736,200 "
Markieff Morris,morrima02,DET,"$2,241,808 ",,,,,,,"$2,241,808 "
Aaron Holiday,holidaa01,IND,"$2,239,200 ","$2,345,640 ","$3,980,551 ",,,,1st Round Pick,"$4,584,840 "
