playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
Terence Davis,daviste02,TOR,"$898,310 ","$1,517,981 ",,,,,Minimum Salary,"$898,310 "
Wenyen Gabriel,gabriwe01,POR,"$898,310 ",,,,,,Minimum Salary,"$898,310 "
Naz Reid,reidna01,MIN,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$898,310 "
Jalen McDaniels,mcdanja01,CHO,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$898,310 "
Caleb Martin,martica02,CHO,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$898,310 "
Shaquille Harrison,harrish01,CHI,"$898,310 ",,,,,,Minimum Salary,"$898,310 "
Javonte Green,greenja02,BOS,"$898,310 ","$1,517,981 ",,,,,Minimum Salary,"$898,310 "
Damion Lee,leeda03,GSW,"$842,327 ","$1,762,796 ","$1,910,860 ",,,,MLE,"$1,442,327 "
Khyri Thomas,thomakh01,DET,"$838,464 ","$1,663,861 ",,,,,MLE,"$838,464 "
DeMarre Carroll,carrode01,HOU,"$811,447 ",,,,,,Minimum Salary,"$811,447 "
Michael Kidd-Gilchrist,kiddgmi01,DAL,"$810,763 ",,,,,,Minimum Salary,"$810,763 "
Marquese Chriss,chrisma01,GSW,"$758,804 ",,,,,,,"$2,213,272 "
Juwan Morgan,morgaju01,UTA,"$746,054 ",,,,,,Minimum Salary,"$746,054 "
Patrick Patterson,pattepa01,OKC,"$737,067 ","$737,067 ","$737,066 ",,,,,"$2,211,200 "
Reggie Jackson,jacksre01,LAC,"$734,025 ",,,,,,Minimum Salary,"$734,025 "
Alfonzo McKinnie,mckinal01,CLE,"$708,871 ",,,,,,,"$2,253,031 "
Gary Clark,clarkga01,HOU,"$708,426 ",,,,,,,"$708,426 "
Jeff Green,greenje02,HOU,"$695,526 ",,,,,,Minimum Salary,"$840,427 "
Cole Aldrich,aldrico01,MIN,"$685,340 ","$685,340 ",,,,,,"$1,370,680 "
Shaun Livingston,livinsh01,GSW,"$666,667 ","$666,667 ","$666,666 ",,,,,"$2,666,666 "
Marquese Chriss,chrisma01,GSW,"$654,468 ","$1,824,003 ",,,,,Minimum Salary,"$2,213,272 "
Timothé Luwawu-Cabarrot,luwawti01,BRK,"$654,468 ","$1,824,003 ",,,,,Minimum Salary,"$844,170 "
Rayjon Tucker,tuckera01,UTA,"$578,573 ","$1,517,981 ",,,,,Minimum Salary,"$578,574 "
Chris Clemons,clemoch01,HOU,"$568,422 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$568,422 "
Gary Clark,clarkga01,ORL,"$555,409 ",,,,,,Minimum Salary,"$718,765 "
Brandon Goodwin,goodwbr01,ATL,"$522,738 ","$1,701,593 ",,,,,Minimum Salary,"$522,738 "
Dion Waiters,waitedi01,LAL,"$503,656 ",,,,,,Minimum Salary,"$503,656 "
Ryan Anderson,anderry01,HOU,"$500,000 ",,,,,,,"$500,000 "
Anžejs Pasečņiks,pasecan01,WAS,"$482,144 ",,,,,,Minimum Salary,"$482,144 "
Troy Daniels,danietr01,DEN,"$481,000 ",,,,,,Minimum Salary,"$481,000 "
Chris Silva,silvach01,MIA,"$466,918 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$1,984,899 "
Dakari Johnson,johnsda04,MEM,"$459,414 ","$459,414 ",,,,,,"$918,828 "
Iman Shumpert,shumpim01,BRK,"$419,443 ",,,,,,,"$419,443 "
Max Strus,strusma01,BOS,"$415,414 ",,,,,,,"$415,414 "
Justin Robinson,robinju01,WAS,"$395,866 ",,,,,,,"$395,866 "
Dean Wade,wadede01,CLE,"$375,000 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$375,000 "
Ivan Rabb,rabbiv01,MEM,"$371,758 ",,,,,,,"$371,758 "
Norvel Pelle,pelleno01,PHI,"$350,189 ",,,,,,Minimum Salary,"$350,189 "
Ky Bowman,bowmaky01,GSW,"$350,189 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$350,189 "
Juan Toscano-Anderson,toscaju01,GSW,"$350,189 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$350,189 "
A.J. Hammons,hammoaj01,MIA,"$350,087 ","$350,087 ",,,,,,"$700,174 "
Festus Ezeli,ezelife01,POR,"$333,333 ",,,,,,,"$333,333 "
C.J. Watson,watsocj01,ORL,"$333,333 ",,,,,,,"$333,333 "
Anthony Tolliver,tollian01,MEM,"$289,803 ",,,,,,Minimum Salary,"$434,704 "
Joakim Noah,noahjo01,LAC,"$289,803 ","$1,737,274 ",,,,,Minimum Salary,"$434,704 "
Corey Brewer,breweco01,SAC,"$289,803 ",,,,,,Minimum Salary,"$289,803 "
J.R. Smith,smithjr01,LAL,"$289,803 ",,,,,,Minimum Salary,"$289,803 "
Luc Mbah a Moute,mbahalu01,HOU,"$289,803 ",,,,,,Minimum Salary,"$289,803 "
Jamal Crawford,crawfja01,BRK,"$289,803 ",,,,,,Minimum Salary,"$289,803 "
Lance Thomas,thomala01,BRK,"$262,152 ",,,,,,Minimum Salary,"$262,152 "
Stanton Kidd,kiddst01,UTA,"$250,000 ",,,,,,,"$250,000 "
Jordan Bell,belljo01,CLE,"$250,000 ",,,,,,MLE,"$250,000 "
Tyler Zeller,zellety01,SAS,"$245,686 ","$2,436,046 ",,,,,Minimum Salary,"$245,686 "
Trey Burke,burketr01,DAL,"$229,220 ",,,,,,Minimum Salary,"$229,220 "
Joe Johnson,johnsjo02,DET,"$220,000 ",,,,,,,"$220,000 "
Tyler Johnson,johnsty01,BRK,"$212,753 ",,,,,,Minimum Salary,"$212,753 "
Jemerrio Jones,jonesje01,WAS,"$199,000 ",,,,,,,"$199,000 "
Jontay Porter,portejo01,MEM,"$197,933 ","$1,517,981 ",,,,,Minimum Salary,"$197,933 "
Justin Anderson,anderju01,BRK,"$196,288 ",,,,,,Minimum Salary,"$294,432 "
Jerian Grant,grantje02,WAS,"$196,288 ",,,,,,Minimum Salary,"$196,288 "
Cameron Payne,payneca01,PHO,"$196,288 ","$1,977,011 ",,,,,Minimum Salary,"$196,288 "
Timothé Luwawu-Cabarrot,luwawti01,BRK,"$189,702 ",,,,,,,"$844,170 "
Dragan Bender,bendedr01,GSW,"$189,702 ",,,,,,,"$189,702 "
Mychal Mulder,muldemy01,GSW,"$187,782 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$238,534 "
Sindarius Thornwell,thornsi01,NOP,"$183,115 ",,,,,,Minimum Salary,"$183,115 "
Justin Patton,pattoju01,DET,"$183,115 ","$1,762,796 ",,,,,Minimum Salary,"$183,115 "
PJ Dozier,doziepj01,DEN,"$183,115 ",,,,,,MLE,"$183,115 "
Alfonzo McKinnie,mckinal01,CLE,"$183,114 ",,,,,,,"$2,253,031 "
Gary Clark,clarkga01,ORL,"$163,356 ",,,,,,,"$718,765 "
Jarrod Uthoff,uthofja01,WAS,"$163,356 ",,,,,,Minimum Salary,"$163,356 "
Jaylen Adams,adamsja01,POR,"$163,356 ",,,,,,Minimum Salary,"$163,356 "
Joe Chealey,chealjo01,CHO,"$163,356 ",,,,,,,"$163,356 "
Luguentz Dort,dortlu01,OKC,"$155,647 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,298,628 "
Cameron Payne,payneca01,TOR,"$150,000 ",,,,,,,"$150,000 "
Jeff Green,greenje02,HOU,"$144,901 ",,,,,,,"$840,427 "
Anthony Tolliver,tollian01,MEM,"$144,901 ",,,,,,,"$434,704 "
Joakim Noah,noahjo01,LAC,"$144,901 ",,,,,,,"$434,704 "
Troy Williams,willitr02,HOU,"$122,741 ","$122,741 ","$122,741 ","$122,741 ",,,,"$490,964 "
Johnathan Williams,willijo04,WAS,"$106,181 ",,,,,,,"$106,181 "
Tyler Cook,cookty01,CLE,"$101,504 ",,,,,,,"$151,504 "
Donta Hall,halldo01,DET,"$101,504 ",,,,,,,"$101,504 "
Donta Hall,halldo01,BRK,"$101,504 ",,,,,,Minimum Salary,"$101,504 "
Yante Maten,matenya01,MIA,"$100,000 ",,,,,,,"$100,000 "
Jaylen Adams,adamsja01,ATL,"$100,000 ",,,,,,,"$100,000 "
Justin Anderson,anderju01,BRK,"$98,144 ",,,,,,,"$294,432 "
Demetrius Jackson,jacksde01,BOS,"$92,857 ","$92,857 ","$92,857 ","$92,857 ","$92,857 ",,,"$464,285 "
Chasson Randle,randlch01,GSW,"$91,557 ",,,,,,,"$91,557 "
Jeremy Pargo,pargoje01,GSW,"$91,557 ",,,,,,,"$91,557 "
Jonah Bolden,boldejo01,PHO,"$81,678 ",,,,,,,"$81,678 "
Josh Magette,magetjo01,ORL,"$81,678 ",,,,,,,"$81,678 "
Jarrod Uthoff,uthofja01,MEM,"$81,678 ",,,,,,,"$81,678 "
Dusty Hannahs,hannadu01,MEM,"$81,678 ",,,,,,,"$81,678 "
Derrick Walton,waltode01,DET,"$81,678 ",,,,,,,"$81,678 "
Sheldon Mac,mcclesh01,CLE,"$81,678 ",,,,,,,"$81,678 "
J.P. Macura,macurjp01,CLE,"$81,678 ",,,,,,,"$81,678 "
Mychal Mulder,muldemy01,GSW,"$50,752 ",,,,,,,"$238,534 "
Eric Mika,mikaer01,SAC,"$50,752 ",,,,,,,"$50,752 "
Zach Norvell,norveza01,GSW,"$50,752 ",,,,,,,"$50,752 "
Malik Newman,newmama01,CLE,"$50,752 ",,,,,,,"$50,752 "
Marques Bolden,boldema01,CLE,"$50,752 ",,,,,,,"$50,752 "
Sir'Dominic Pointer,pointsi01,CLE,"$50,752 ",,,,,,,"$50,752 "
Paul Watson,watsopa01,ATL,"$50,752 ",,,,,,,"$50,752 "
Tyler Cook,cookty01,CLE,"$50,000 ",,,,,,,"$151,504 "
William Howard,howarwi01,UTA,"$50,000 ",,,,,,,"$50,000 "
Isaiah Taylor,taylois01,TOR,"$50,000 ",,,,,,,"$50,000 "
Tyler Lydon,lydonty01,SAC,"$50,000 ",,,,,,,"$50,000 "
Hollis Thompson,thompho01,SAC,"$50,000 ",,,,,,,"$50,000 "
Tyler Ulis,ulisty01,SAC,"$50,000 ",,,,,,,"$50,000 "
