playername,playerid,team,salary1920,salary2021,salary2122,salary2223,salary2324,salary2425,signedusing,guaranteed
Gorgui Dieng,dienggo01,MEM,16229213,17287640,,,,,1st Round Pick,33516853
Ricky Rubio,rubiori01,PHO,16190476,17000000,17809524,,,,Cap Space,51000000
Jonas Valančiūnas,valanjo01,MEM,16000000,15000000,14000000,,,,Bird Rights,45000000
Brandon Knight,knighbr03,DET,15643750,,,,,,Bird Rights,15643750
Eric Bledsoe,bledser01,MIL,15625000,16875000,18125000,19375000,,,Bird Rights,54525000
Kelly Oubre,oubreke01,PHO,15625000,14375000,,,,,Bird Rights,30000000
Dennis Schröder,schrode01,OKC,15500000,15500000,,,,,1st Round Pick,31000000
Ian Mahinmi,mahinia01,WAS,15450051,,,,,,Cap Space,15450051
James Johnson,johnsja01,MIN,15349400,16047100,,,,,Cap space,15349400
Marvin Williams,willima02,CHO,15006250,,,,,,,15006250
Bobby Portis,portibo01,NYK,15000000,15750000,,,,,Cap Space,15000000
Marcus Morris,morrima03,LAC,15000000,,,,,,Cap Space,15000000
Danny Green,greenda02,LAL,14634146,15365854,,,,,Cap Space,30000000
Cody Zeller,zelleco01,CHO,14471910,15415730,,,,,1st Round Pick,29887640
Eric Gordon,gordoer01,HOU,14057730,16869276,18218818,19568360,20917902,,Cap Space,68714184
Mason Plumlee,plumlma01,DEN,14041096,,,,,,Cap space,14041096
Rudy Gay,gayru01,SAS,14000000,14000000,,,,,Early Bird Rights,28000000
J.J. Redick,redicjj01,NOP,13486300,13013700,,,,,Cap Space,26500000
Jordan Clarkson,clarkjo01,UTA,13437500,,,,,,Cap Space,13437500
Dewayne Dedmon,dedmode01,ATL,13333334,13333333,13333333,,,,Cap space,40000000
Solomon Hill,hillso01,MIA,13258781,,,,,,Cap Space,13258781
Justise Winslow,winslju01,MEM,13000000,13000000,13000000,,,,1st Round Pick,26000000
Michael Kidd-Gilchrist,kiddgmi01,CHO,13000000,,,,,,,13000000
Will Barton,bartowi01,DEN,12960000,13920000,14880000,,,,Bird Rights,26880000
Thaddeus Young,youngth01,CHI,12900000,13545000,14190000,,,,Cap space,32445000
Courtney Lee,leeco01,DAL,12759670,,,,,,Cap Space,12759670
Larry Nance,nancela02,CLE,12727273,11709091,10690909,9672727,,,1st Round pick,44800000
Marcus Smart,smartma01,BOS,12553471,13446428,14339285,,,,Bird Rights,40339184
Terrence Ross,rosste01,ORL,12500000,13500000,12500000,11500000,,,Bird Rights,50000000
Miles Plumlee,plumlmi01,MEM,12500000,,,,,,,12500000
Patty Mills,millspa02,SAS,12428571,13285714,,,,,Bird Rights,25714285
Patrick Beverley,beverpa01,LAC,12345679,13333333,14320988,,,,Bird Rights,40000000
Trevor Ariza,arizatr01,POR,12200000,12800000,,,,,Cap Space,14000000
Dion Waiters,waitedi01,MEM,12100000,12650000,,,,,,24750000
Brook Lopez,lopezbr01,MIL,12093024,12697675,13302325,13906976,,,Cap Space,52000000
Jusuf Nurkić,nurkiju01,POR,12000000,12000000,12000000,,,,Bird Rights,28000000
Cory Joseph,josepco01,SAC,12000000,12600000,12600000,,,,Cap Space,24600000
Joe Ingles,inglejo01,UTA,11954546,10863637,14000000,,,,Bird Rights,36818183
Kelly Olynyk,olynyke01,MIA,11667885,12198243,,,,,Cap space,11667885
Maurice Harkless,harklma01,NYK,11511234,,,,,,Cap Space,11511234
Tony Snell,snellto01,DET,11392857,12178571,,,,,Cap space,11392857
Robert Covington,covinro01,HOU,11301219,12138345,12975471,,,,Cap Space,36415035
Meyers Leonard,leoname01,MIA,11286515,,,,,,Cap Space,11286515
T.J. Warren,warretj01,IND,10810000,11750000,12690000,,,,1st Round Pick,35250000
Andre Roberson,roberan03,OKC,10740741,,,,,,Bird Rights,10740741
Spencer Dinwiddie,dinwisp01,BRK,10600000,11400000,12300000,,,,Minimum Salary,22000000
Jeremy Lamb,lambje01,IND,10500000,10500000,10500000,,,,Cap Space,31500000
Dwight Powell,poweldw01,DAL,10259375,10185185,11000000,11814815,,,Cap Space,43259375
Norman Powell,powelno01,TOR,10116576,10865952,11615328,,,,Cap Space,20982528
Josh Richardson,richajo01,PHI,10100000,10800000,11600000,,,,Minimum Salary,20900000
Tomáš Satoranský,satorto01,CHI,10000000,10000000,10000000,,,,Sign and Trade,25000000
DeAndre Jordan,jordade01,BRK,9881598,10375678,9881598,9821842,,,Cap space,39960716
Taj Gibson,gibsota01,NYK,9800000,10290000,,,,,Cap Space,9800000
Zion Williamson,willizi01,NOP,9757440,10245480,10733400,13534817,,,1st Round Pick,20002920
Markelle Fultz,fultzma01,ORL,9745200,12288697,,,,,1st Round Pick,22033897
John Henson,hensojo01,DET,9732396,,,,,,1st Round Pick,9732396
Matthew Dellavedova,dellama01,CLE,9607500,,,,,,Cap Space,9607500
Dante Exum,exumda01,CLE,9600000,9600000,,,,,Cap Space,18200000
Deandre Ayton,aytonde01,PHO,9562920,10018200,12632950,,,,1st Round Pick,19581120
Delon Wright,wrighde01,DAL,9473684,9000000,8526316,,,,Sign and Trade,27000000
Jerami Grant,grantje01,DEN,9346153,9346153,,,,,Bird Rights,9346153
